date,per_10000,7_day_year
2018/9/1,0.8639,0.0327 
2018/8/31,0.864,0.0327 
2018/8/30,0.8608,0.0331 
2018/8/29,0.9387,0.0344 
2018/8/28,0.8674,0.0342 
2018/8/27,0.9141,0.0342 
2018/8/26,0.8652,0.0339 
2018/8/25,0.8653,0.0340 
2018/8/24,0.9349,0.0341 
2018/8/23,1.0928,0.0339 
2018/8/22,0.9027,0.0339 
2018/8/21,0.8646,0.0339 
2018/8/20,0.8661,0.0342 
2018/8/19,0.8804,0.0345 
2018/8/18,0.8805,0.0347 
2018/8/17,0.9144,0.0349 
2018/8/16,1.0901,0.0348 
2018/8/15,0.8883,0.0339 
2018/8/14,0.9336,0.0342 
2018/8/13,0.9209,0.0344 
2018/8/12,0.9146,0.0352 
2018/8/11,0.9147,0.0353 
2018/8/10,0.8965,0.0354 
2018/8/9,0.9233,0.0367 
2018/8/8,0.9402,0.0367 
2018/8/7,0.9705,0.0366 
2018/8/6,1.0729,0.0362 
2018/8/5,0.9343,0.0361 
2018/8/4,0.9343,0.0360 
2018/8/3,1.1406,0.0359 
2018/8/2,0.918,0.0350 
2018/8/1,0.9146,0.0357 
2018/7/31,0.909,0.0360 
2018/7/30,1.0577,0.0360 
2018/7/29,0.9085,0.0353 
2018/7/28,0.9085,0.0353 
2018/7/27,0.9882,0.0353 
2018/7/26,1.047,0.0352 
2018/7/25,0.9647,0.0344 
2018/7/24,0.902,0.0342 
2018/7/23,0.9368,0.0343 
2018/7/22,0.9067,0.0348 
2018/7/21,0.908,0.0349 
2018/7/20,0.9634,0.0349 
2018/7/19,0.9102,0.0347 
2018/7/18,0.9157,0.0347 
2018/7/17,0.9209,0.0348 
2018/7/16,1.0388,0.0350 
2018/7/15,0.9182,0.0352 
2018/7/14,0.9183,0.0356 
2018/7/13,0.9203,0.0361 
2018/7/12,0.9164,0.0380 
2018/7/11,0.9303,0.0388 
2018/7/10,0.9484,0.0403 
2018/7/9,1.0811,0.0408 
2018/7/8,1.0007,0.0407 
2018/7/7,1.0008,0.0409 
2018/7/6,1.2749,0.0411 
2018/7/5,1.0702,0.0413 
2018/7/4,1.192,0.0412 
2018/7/3,1.0572,0.0405 
2018/7/2,1.0594,0.0404 
2018/7/1,1.0351,0.0403 
2018/6/30,1.0351,0.0402 
2018/6/29,1.3204,0.0402 
2018/6/28,1.0457,0.0385 
2018/6/27,1.0602,0.0384 
2018/6/26,1.0309,0.0386 
2018/6/25,1.0515,0.0385 
2018/6/24,1.0193,0.0383 
2018/6/23,1.0212,0.0382 
2018/6/22,1.0229,0.0382 
2018/6/21,1.0135,0.0382 
2018/6/20,1.1025,0.0382 
2018/6/19,1.0056,0.0379 
2018/6/18,1.0151,0.0384 
2018/6/17,1.0152,0.0385 
2018/6/16,1.0153,0.0385 
2018/6/15,1.0247,0.0386 
2018/6/14,1.0131,0.0386 
2018/6/13,1.0366,0.0392 
2018/6/12,1.111,0.0392 
2018/6/11,1.0234,0.0390 
2018/6/10,1.0268,0.0397 
2018/6/9,1.0269,0.0397 
2018/6/8,1.0302,0.0398 
2018/6/7,1.1224,0.0398 
2018/6/6,1.0393,0.0396 
2018/6/5,1.0661,0.0397 
2018/6/4,1.1452,0.0395 
2018/6/3,1.0389,0.0397 
2018/6/2,1.0395,0.0396 
2018/6/1,1.0393,0.0395 
2018/5/31,1.085,0.0396 
2018/5/30,1.0594,0.0393 
2018/5/29,1.029,0.0392 
2018/5/28,1.1761,0.0395 
2018/5/27,1.0245,0.0395 
2018/5/26,1.0246,0.0395 
2018/5/25,1.0416,0.0396 
2018/5/24,1.0382,0.0397 
2018/5/23,1.0306,0.0399 
2018/5/22,1.0973,0.0399 
2018/5/21,1.1658,0.0395 
2018/5/20,1.0363,0.0386 
2018/5/19,1.0364,0.0386 
2018/5/18,1.0549,0.0385 
2018/5/17,1.085,0.0383 
2018/5/16,1.0291,0.0379 
2018/5/15,1.0163,0.0381 
2018/5/14,1.0132,0.0380 
2018/5/13,1.0189,0.0384 
2018/5/12,1.019,0.0383 
2018/5/11,1.0195,0.0383 
2018/5/10,1.0132,0.0388 
2018/5/9,1.076,0.0391 
2018/5/8,1.0005,0.0392 
2018/5/7,1.071,0.0395 
2018/5/6,1.0164,0.0394 
2018/5/5,1.0165,0.0396 
2018/5/4,1.0985,0.0399 
2018/5/3,1.0805,0.0397 
2018/5/2,1.0839,0.0398 
2018/5/1,1.0584,0.0421 
2018/4/30,1.0584,0.0422 
2018/4/29,1.0585,0.0423 
2018/4/28,1.0586,0.0415 
2018/4/27,1.0727,0.0409 
2018/4/26,1.1022,0.0410 
2018/4/25,1.4965,0.0402 
2018/4/24,1.0821,0.0376 
2018/4/23,1.0676,0.0375 
2018/4/22,0.9238,0.0375 
2018/4/21,0.9351,0.0379 
2018/4/20,1.0985,0.0383 
2018/4/19,0.955,0.0378 
2018/4/18,1.009,0.0401 
2018/4/17,1.0629,0.0421 
2018/4/16,1.0668,0.0416 
2018/4/15,1.0022,0.0425 
2018/4/14,1.0056,0.0429 
2018/4/13,1.0088,0.0433 
2018/4/12,1.3808,0.0437 
2018/4/11,1.3774,0.0420 
2018/4/10,0.9835,0.0407 
2018/4/9,1.2193,0.0413 
2018/4/8,1.0782,0.0406 
2018/4/7,1.0783,0.0406 
2018/4/6,1.0784,0.0405 
2018/4/5,1.0785,0.0405 
2018/4/4,1.1378,0.0404 
2018/4/3,1.0905,0.0418 
2018/4/2,1.0952,0.0419 
2018/4/1,1.0708,0.0416 
2018/3/31,1.0708,0.0414 
2018/3/30,1.0684,0.0412 
2018/3/29,1.0559,0.0412 
2018/3/28,1.4037,0.0420 
2018/3/27,1.1111,0.0400 
2018/3/26,1.0425,0.0397 
2018/3/25,1.0297,0.0400 
2018/3/24,1.0308,0.0400 
2018/3/23,1.0664,0.0402 
2018/3/22,1.2104,0.0407 
2018/3/21,1.036,0.0401 
2018/3/20,1.0501,0.0403 
2018/3/19,1.0917,0.0404 
2018/3/18,1.0392,0.0404 
2018/3/17,1.0713,0.0407 
2018/3/16,1.1521,0.0408 
2018/3/15,1.095,0.0406 
2018/3/14,1.0782,0.0408 
2018/3/13,1.0767,0.0412 
2018/3/12,1.0799,0.0421 
2018/3/11,1.0897,0.0422 
2018/3/10,1.0898,0.0424 
2018/3/9,1.1301,0.0425 
2018/3/8,1.1156,0.0425 
2018/3/7,1.1644,0.0425 
2018/3/6,1.2306,0.0421 
2018/3/5,1.1128,0.0417 
2018/3/4,1.118,0.0420 
2018/3/3,1.118,0.0419 
2018/3/2,1.1185,0.0419 
2018/3/1,1.1137,0.0418 
2018/2/28,1.104,0.0420 
2018/2/27,1.154,0.0419 
2018/2/26,1.1638,0.0415 
2018/2/25,1.1057,0.0410 
2018/2/24,1.1058,0.0408 
2018/2/23,1.107,0.0407 
2018/2/22,1.1531,0.0405 
2018/2/21,1.0774,0.0401 
2018/2/20,1.0775,0.0401 
2018/2/19,1.0776,0.0402 
2018/2/18,1.0776,0.0404 
2018/2/17,1.0777,0.0405 
2018/2/16,1.078,0.0407 
2018/2/15,1.0779,0.0411 
2018/2/14,1.0795,0.0411 
2018/2/13,1.0812,0.0413 
2018/2/12,1.1196,0.0415 
2018/2/11,1.1051,0.0417 
2018/2/10,1.1052,0.0418 
2018/2/9,1.1565,0.0419 
2018/2/8,1.0839,0.0417 
2018/2/7,1.1095,0.0420 
2018/2/6,1.1137,0.0421 
2018/2/5,1.1668,0.0421 
2018/2/4,1.1219,0.0418 
2018/2/3,1.122,0.0415 
2018/2/2,1.1238,0.0413 
2018/2/1,1.1337,0.0413 
2018/1/31,1.1252,0.0413 
2018/1/30,1.1125,0.0417 
2018/1/29,1.1122,0.0419 
2018/1/28,1.0758,0.0420 
2018/1/27,1.0759,0.0423 
2018/1/26,1.119,0.0426 
2018/1/25,1.1423,0.0427 
2018/1/24,1.1952,0.0425 
2018/1/23,1.1488,0.0425 
2018/1/22,1.1366,0.0423 
2018/1/21,1.1299,0.0425 
2018/1/20,1.13,0.0424 
2018/1/19,1.1303,0.0424 
2018/1/18,1.1171,0.0423 
2018/1/17,1.1882,0.0422 
2018/1/16,1.1171,0.0420 
2018/1/15,1.1682,0.0422 
2018/1/14,1.1168,0.0418 
2018/1/13,1.1168,0.0417 
2018/1/12,1.1154,0.0416 
2018/1/11,1.0958,0.0417 
2018/1/10,1.1645,0.0428 
2018/1/9,1.1428,0.0442 
2018/1/8,1.1087,0.0463 
2018/1/7,1.092,0.0483 
2018/1/6,1.092,0.0504 
2018/1/5,1.1457,0.0524 
2018/1/4,1.2918,0.0543 
2018/1/3,1.4277,0.0556 
2018/1/2,1.52,0.0541 
2018/1/1,1.4715,0.0522 
